Event ID,Job ID,Tech,Start,End,Title
E-10001,J-5001,Tom L.,2024-01-13 22:47:00,2024-01-14 01:15:08,Furnace Repair - Mary Lopez
E-10002,J-5002,Tom L.,2024-01-15 17:40:00,2024-01-15 20:27:36,AC Repair - Linda Davis
E-10003,J-5003,Chris W.,2024-01-22 18:37:00,2024-01-22 22:15:02,Duct Cleaning - Richard Thomas
E-10004,J-5004,Mike R.,2024-01-17 23:40:00,2024-01-18 02:11:04,Furnace Repair - Richard Thomas
E-10005,J-5005,Jessica M.,2024-01-10 15:37:00,2024-01-10 20:03:27,Duct Cleaning - Elizabeth Taylor
E-10006,J-5006,Tom L.,2024-01-18 20:50:00,2024-01-18 23:37:55,Furnace Repair - Mary Taylor
E-10007,J-5007,Jessica M.,2024-01-16 17:08:00,2024-01-17 02:49:17,System Installation - Richard Thomas
E-10008,J-5008,Jessica M.,2024-01-13 16:51:00,2024-01-13 19:19:17,Furnace Repair - Mary Davis
E-10009,J-5009,Mike R.,2024-01-10 23:21:00,2024-01-11 02:00:57,Furnace Repair - Patricia Miller
E-10010,J-5010,Chris W.,2024-01-22 21:10:00,2024-01-23 00:24:10,AC Repair - Jennifer Lopez
E-10011,J-5011,Chris W.,2024-01-13 00:48:00,2024-01-13 04:46:56,Duct Cleaning - Richard Lopez
E-10012,J-5012,Dan P.,2024-01-25 17:37:00,2024-01-26 02:47:12,System Installation - Linda Lopez
E-10013,J-5013,Sarah K.,2024-01-25 21:47:00,2024-01-26 00:22:19,Furnace Repair - Richard Lopez
E-10014,J-5014,Jessica M.,2024-01-28 21:02:00,2024-01-28 23:26:54,Furnace Repair - William Rodriguez
E-10015,J-5015,Jessica M.,2024-01-21 18:30:00,2024-01-21 21:23:59,Furnace Repair - Mary Hernandez
E-10016,J-5016,Mike R.,2024-01-22 22:22:00,2024-01-23 00:38:52,Furnace Repair - Elizabeth Taylor
E-10017,J-5017,Tom L.,2024-02-01 00:27:00,2024-02-01 03:23:25,Furnace Repair - Patricia Jones
E-10018,J-5018,Tom L.,2024-01-18 00:13:00,2024-01-18 06:42:05,System Installation - Linda Wilson
E-10019,J-5019,Chris W.,2024-01-24 16:56:00,2024-01-24 19:33:10,Furnace Repair - Susan Williams
E-10020,J-5020,Chris W.,2024-02-08 17:07:00,2024-02-08 20:49:14,AC Repair - William Rodriguez
E-10021,J-5021,Mike R.,2024-01-28 21:47:00,2024-01-29 05:15:38,System Installation - William Hernandez
E-10022,J-5022,Tom L.,2024-01-29 21:39:00,2024-01-30 00:53:52,AC Repair - Susan Williams
E-10023,J-5023,Chris W.,2024-02-03 19:43:00,2024-02-03 22:35:40,Furnace Repair - Richard Thomas
E-10024,J-5024,Sarah K.,2024-01-25 00:44:00,2024-01-25 03:00:11,Furnace Repair - Robert Lopez
E-10025,J-5025,Dan P.,2024-01-28 19:24:00,2024-01-29 03:58:41,System Installation - Linda Lopez
E-10026,J-5026,Dan P.,2024-02-03 22:10:00,2024-02-04 06:05:31,System Installation - Patricia Thomas
E-10027,J-5027,Chris W.,2024-02-08 23:47:00,2024-02-09 07:24:46,System Installation - Susan Williams
E-10028,J-5028,Sarah K.,2024-02-08 20:02:00,2024-02-08 21:33:52,Maintenance Service - Richard Thomas
E-10029,J-5029,Tom L.,2024-02-03 16:34:00,2024-02-04 00:28:10,System Installation - Richard Lopez
E-10030,J-5030,Jessica M.,2024-02-01 15:29:00,2024-02-01 18:06:11,Furnace Repair - John Davis
E-10031,J-5031,Tom L.,2024-02-11 22:57:00,2024-02-12 01:48:15,Furnace Repair - Robert Wilson
E-10032,J-5032,Tom L.,2024-02-05 17:24:00,2024-02-06 02:41:17,System Installation - William Rodriguez
E-10033,J-5033,Tom L.,2024-02-08 15:02:00,2024-02-08 22:37:09,System Installation - Robert Wilson
E-10034,J-5034,Tom L.,2024-02-01 18:13:00,2024-02-01 20:44:23,Furnace Repair - Robert Wilson
E-10035,J-5035,Tom L.,2024-02-11 17:55:00,2024-02-12 02:22:06,System Installation - Mary Williams
E-10036,J-5036,Dan P.,2024-01-30 23:39:00,2024-01-31 00:50:08,Maintenance Service - Mary Hernandez
E-10037,J-5037,Jessica M.,2024-02-16 23:18:00,2024-02-17 01:18:44,Furnace Repair - Patricia Miller
E-10038,J-5038,Jessica M.,2024-02-01 23:18:00,2024-02-02 02:04:33,Furnace Repair - Mary Taylor
E-10039,J-5039,Sarah K.,2024-02-11 16:04:00,2024-02-11 19:49:57,Duct Cleaning - John Davis
E-10040,J-5040,Chris W.,2024-02-10 19:24:00,2024-02-11 05:03:31,System Installation - Richard Lopez
