Quote ID,Created At,Approved At,Status,Total,Customer Name,Customer Email,Customer Phone,Job Type
Q-1001,2023-12-31 22:47:00,2024-01-06 22:47:00,Approved,579.09,Mary Lopez,mary.lopez@example.com,343-616-8397,Furnace Repair
Q-1002,2024-01-01 20:05:00,,Rejected,943.68,Susan Hernandez,susan.hernandez@example.com,492-215-1769,AC Repair
Q-1003,2024-01-02 22:39:00,,Sent,4469.75,David Martinez,david.martinez@example.com,456-735-2988,System Installation
Q-1004,2024-01-03 17:40:00,2024-01-13 17:40:00,Approved,202.98,Linda Davis,linda.davis@example.com,677-396-6811,AC Repair
Q-1005,2024-01-03 18:29:00,,Sent,8524.79,Susan Hernandez,susan.hernandez@example.com,492-215-1769,System Installation
Q-1006,2024-01-04 18:37:00,2024-01-09 18:37:00,Approved,1168.47,Richard Thomas,richard.thomas@example.com,591-347-1427,Duct Cleaning
Q-1007,2024-01-04 22:44:00,,Sent,326.15,Susan Hernandez,susan.hernandez@example.com,492-215-1769,Furnace Repair
Q-1008,2024-01-05 23:40:00,2024-01-06 23:40:00,Approved,180.00,Richard Thomas,richard.thomas@example.com,591-347-1427,Furnace Repair
Q-1009,2024-01-05 15:37:00,2024-01-05 15:37:00,Approved,786.27,Elizabeth Taylor,elizabeth.taylor@example.com,434-515-4909,Duct Cleaning
Q-1010,2024-01-05 20:50:00,2024-01-07 20:50:00,Approved,199.62,Mary Taylor,mary.taylor@example.com,662-469-6366,Furnace Repair
Q-1011,2024-01-06 17:08:00,2024-01-12 17:08:00,Approved,4293.15,Richard Thomas,richard.thomas@example.com,591-347-1427,System Installation
Q-1012,2024-01-07 16:51:00,2024-01-09 16:51:00,Approved,526.88,Mary Davis,mary.davis@example.com,342-767-7297,Furnace Repair
Q-1013,2024-01-07 23:21:00,2024-01-08 23:21:00,Approved,206.96,Patricia Miller,patricia.miller@example.com,365-703-8981,Furnace Repair
Q-1014,2024-01-07 21:10:00,2024-01-17 21:10:00,Approved,451.11,Jennifer Lopez,jennifer.lopez@example.com,223-376-9941,AC Repair
Q-1015,2024-01-08 20:36:00,,Sent,336.38,Patricia Thomas,patricia.thomas@example.com,600-749-6495,Furnace Repair
Q-1016,2024-01-09 00:48:00,2024-01-11 00:48:00,Approved,1181.32,Richard Lopez,richard.lopez@example.com,765-316-3457,Duct Cleaning
Q-1017,2024-01-08 17:37:00,2024-01-18 17:37:00,Approved,3724.22,Linda Lopez,linda.lopez@example.com,756-995-9011,System Installation
Q-1018,2024-01-09 21:47:00,2024-01-18 21:47:00,Approved,418.64,Richard Lopez,richard.lopez@example.com,765-316-3457,Furnace Repair
Q-1019,2024-01-09 20:03:00,,Sent,282.43,John Davis,john.davis@example.com,225-413-1556,Duct Cleaning
Q-1020,2024-01-10 21:02:00,2024-01-19 21:02:00,Approved,189.70,William Rodriguez,william.rodriguez@example.com,874-794-1481,Furnace Repair
Q-1021,2024-01-11 00:53:00,,Sent,5832.36,Mary Davis,mary.davis@example.com,342-767-7297,System Installation
Q-1022,2024-01-12 00:30:00,,Rejected,172.79,Maria Anderson,maria.anderson@example.com,902-744-4143,Furnace Repair
Q-1023,2024-01-12 00:13:00,,Sent,12902.18,William Hernandez,william.hernandez@example.com,461-596-6497,System Installation
Q-1024,2024-01-12 18:30:00,2024-01-12 18:30:00,Approved,1188.11,Mary Hernandez,mary.hernandez@example.com,270-954-4880,Furnace Repair
Q-1025,2024-01-12 22:22:00,2024-01-12 22:22:00,Approved,160.22,Elizabeth Taylor,elizabeth.taylor@example.com,434-515-4909,Furnace Repair
